datetime;diameter
2019-01-01;4.4641
2019-01-02;4.4677
2019-01-03;4.4778
2019-01-04;4.5596
2019-01-05;4.5238
2019-01-06;4.708
2019-01-07;4.7042
2019-01-08;4.7063
2019-01-09;4.5981
2019-01-10;4.5591
2019-01-11;4.5367
2019-01-12;4.5859
2019-01-13;4.5872
2019-01-14;4.5894
2019-01-15;4.9634
2019-01-16;4.5714
2019-01-17;4.5692
2019-01-18;4.5403
2019-01-19;4.5199
2019-01-20;4.4573
2019-01-21;4.4544
2019-01-22;4.3757
2019-01-23;4.3744
2019-01-24;4.3531
2019-01-25;6.6221
2019-01-26;4.3369
2019-01-27;4.3958
2019-01-28;4.4036
2019-01-29;4.3702
2019-01-30;4.3501
2019-01-31;4.3462
2019-02-01;4.3633
2019-02-02;4.3602
2019-02-03;4.3555
2019-02-04;4.3565
2019-02-05;4.5157
2019-02-06;4.4061
2019-02-07;4.4083
2019-02-08;4.4083
2019-02-09;4.4161
2019-02-10;4.3889
2019-02-11;4.4099
2019-02-12;4.4156
2019-02-13;4.4167
2019-02-14;4.4001
2019-02-15;4.7994
2019-02-16;5.0164
2019-02-17;5.0142
2019-02-18;4.9768
2019-02-19;4.9782
2019-02-20;4.9797
2019-02-21;4.9783
2019-02-22;4.9769
2019-02-23;4.9731
2019-02-24;4.9678
2019-02-25;4.9626
2019-02-26;4.9609
2019-02-27;4.9672
2019-02-28;4.9711
2019-03-01;4.9724
2019-03-02;4.9748
2019-03-03;4.9764
2019-03-04;4.9763
2019-03-05;4.971
2019-03-06;4.9746
2019-03-07;4.4268
2019-03-08;4.9364
2019-03-09;4.9367
2019-03-10;4.9344
2019-03-11;4.934
2019-03-12;4.3976
2019-03-13;4.9617
2019-03-14;4.9611
2019-03-15;4.9613
2019-03-16;4.7581
2019-03-17;4.9661
2019-03-18;4.9667
2019-03-19;4.9679
2019-03-20;4.9699
2019-03-21;4.9701
2019-03-22;4.9748
2019-03-23;4.9687
2019-03-24;4.969
2019-03-25;4.9694
2019-03-26;4.9758
2019-03-27;4.9771
2019-03-28;4.9758
2019-03-29;4.9763
2019-03-30;4.9888
2019-03-31;5.009
2019-04-01;5.0121
2019-04-02;5.0099
2019-04-03;5.0097
2019-04-04;4.9799
2019-04-05;4.9883
2019-04-06;5.0073
2019-04-07;5.0097
2019-04-08;5.0094
2019-04-09;5.0075
2019-04-10;5.0084
2019-04-11;5.0132
2019-04-12;4.9863
2019-04-13;4.9758
2019-04-14;4.9474
2019-04-15;4.9484
