datetime;nodes;channels;capacity
2025-03-11 00:00:00;16825;43143;469903135384
2025-03-10 00:00:00;16822;43121;469203803029
2025-03-09 00:00:00;16823;43286;472489551919
2025-03-08 00:00:00;16868;44172;482345333272
2024-11-14 00:00:00;11874;46716;526153723980
2024-11-13 00:00:00;11878;46723;526286138079
2024-11-12 00:00:00;11869;46698;526412813673
2024-11-11 00:00:00;11917;46727;525275912324
2024-11-10 00:00:00;11904;46753;528185701183
2024-11-09 00:00:00;11919;46830;529189373064
2024-11-08 00:00:00;11906;46849;529509535070
2024-11-07 00:00:00;11883;46791;533059253401
2024-11-06 00:00:00;12046;47109;533167892830
2024-11-05 00:00:00;12077;47114;532164818030
2024-11-04 00:00:00;12058;47032;530579614499
2024-11-03 00:00:00;11984;46802;527477379334
2024-11-02 00:00:00;12079;47038;526016410495
2024-11-01 00:00:00;12067;47059;526323839153
2024-10-31 00:00:00;11951;46917;527351444494
2024-10-30 00:00:00;12063;47111;526231722994
2024-10-29 00:00:00;12064;47162;531434064547
2024-10-28 00:00:00;12058;47116;530211083223
2024-10-27 00:00:00;11925;46813;527081318141
2024-10-26 00:00:00;12101;47229;528866863117
2024-10-25 00:00:00;12108;47206;527921351482
2024-10-24 00:00:00;12118;47156;527312312972
2024-10-23 00:00:00;12603;47939;526799330395
2024-10-22 00:00:00;12599;47995;525715478444
2024-10-21 00:00:00;12580;47946;524719937199
2024-10-20 00:00:00;12114;47156;531189306712
2024-10-19 00:00:00;12369;47693;532783019592
2024-10-18 00:00:00;12370;47765;531507877148
2024-10-17 00:00:00;12358;47732;531009538919
2024-10-16 00:00:00;12391;47794;530595039762
2024-10-15 00:00:00;12386;47746;530253930410
2024-10-14 00:00:00;12377;47730;526552413970
2024-10-13 00:00:00;12329;47728;527209490285
2024-10-12 00:00:00;12389;47874;528219127947
2024-10-11 00:00:00;12346;47786;527702254657
2024-10-10 00:00:00;12325;47762;527332855865
2024-10-09 00:00:00;12359;47803;526543280586
2024-10-08 00:00:00;12359;47745;525486471935
2024-10-07 00:00:00;12364;47752;526737653906
2024-10-06 00:00:00;12238;47395;524351233465
2024-10-05 00:00:00;12375;47886;527041751374
2024-10-04 00:00:00;12376;47881;527886898587
2024-10-03 00:00:00;12396;47873;527312848546
2024-10-02 00:00:00;12424;47925;527060447066
2024-10-01 00:00:00;12397;47872;525754081396
2024-09-30 00:00:00;12380;47890;530794300222
2024-09-29 00:00:00;12294;47695;529145852490
2024-09-28 00:00:00;12401;48011;531290410871
2024-09-27 00:00:00;12386;48045;531029452874
2024-09-26 00:00:00;12371;48042;530265082270
2024-09-25 00:00:00;12388;48081;530354595628
2024-09-24 00:00:00;12422;48159;529675463617
2024-09-23 00:00:00;12371;47974;528590390610
2024-09-22 00:00:00;12248;47755;526995754604
2024-09-21 00:00:00;12412;48153;527580100616
2024-09-20 00:00:00;12403;48144;527227636636
2024-09-19 00:00:00;12387;48100;527560308427
2024-09-18 00:00:00;12444;48199;527760417484
2024-09-17 00:00:00;12426;48104;526498760769
2024-09-16 00:00:00;12417;48076;526277649179
2024-09-15 00:00:00;12386;47901;524144671005
2024-09-14 00:00:00;12422;48000;525208590398
2024-09-13 00:00:00;12418;47934;522790077370
2024-09-12 00:00:00;12403;47787;519916702560
2024-09-11 00:00:00;12464;48042;518946133874
2024-09-10 00:00:00;12439;47948;516818130363
2024-09-09 00:00:00;12429;47948;516128817303
2024-09-08 00:00:00;12413;47906;516644348674
2024-09-07 00:00:00;12772;48639;517724934180
2024-09-06 00:00:00;12747;48695;516956435723
2024-09-05 00:00:00;12841;48788;516727787757
2024-09-04 00:00:00;12829;48721;516807641001
2024-09-03 00:00:00;12815;48677;516318407635
2024-09-02 00:00:00;12799;48598;515611777030
2024-09-01 00:00:00;12785;48514;515472781690
2024-08-31 00:00:00;12792;48494;514277372845
2024-08-30 00:00:00;12778;48470;512957578227
2024-08-29 00:00:00;12755;48424;511188636736
2024-08-28 00:00:00;12808;48615;510418319414
2024-08-27 00:00:00;12780;48635;510174204622
2024-08-26 00:00:00;12772;48766;510151712668
2024-08-25 00:00:00;12771;48794;508721482991
2024-08-24 00:00:00;12825;48886;507313579535
2024-08-23 00:00:00;12810;48771;505931918866
2024-08-22 00:00:00;12786;48614;500079996779
2024-08-21 00:00:00;12831;48720;502955868385
2024-08-20 00:00:00;12808;48633;505564427073
2024-08-19 00:00:00;12790;48540;504751859990
2024-08-18 00:00:00;12806;48539;506225058214
2024-08-17 00:00:00;12837;48627;505959439231
2024-08-16 00:00:00;12832;48679;504649469685
2024-08-15 00:00:00;12818;48772;504119588507
2024-08-14 00:00:00;12840;48916;508871419944
2024-08-13 00:00:00;12826;48890;508271385228
2024-08-12 00:00:00;12828;48866;507585813657
2024-08-11 00:00:00;12688;48477;505781490894
2024-08-10 00:00:00;12841;48959;506480134412
2024-08-09 00:00:00;12843;48951;506139593080
2024-08-08 00:00:00;12830;48883;505635168382
2024-08-07 00:00:00;12870;48952;505004991561
2024-08-06 00:00:00;12861;48932;504722402036
