timestamp,datetime,nodes,edges,geocoded_nodes,file_name
1547942400,2019-01-20,1137,3240,771,20190120_geo.gml
1548028800,2019-01-21,1222,3760,826,20190121_geo.gml
1548201600,2019-01-23,1204,3686,818,20190123_geo.gml
1548633600,2019-01-28,1148,3353,788,20190128_geo.gml
1548720000,2019-01-29,1139,3205,782,20190129_geo.gml
1548806400,2019-01-30,1076,2793,748,20190130_geo.gml
1550620800,2019-02-20,2588,12684,1678,20190220_geo.gml
1551052800,2019-02-25,3014,18836,1911,20190225_geo.gml
1551139200,2019-02-26,3071,19292,1941,20190226_geo.gml
1551225600,2019-02-27,3127,20154,1974,20190227_geo.gml
1551312000,2019-02-28,3165,21279,1996,20190228_geo.gml
1551571200,2019-03-03,3333,23596,2104,20190303_geo.gml
1551657600,2019-03-04,3374,24137,2123,20190304_geo.gml
1551830400,2019-03-06,3520,25445,2187,20190306_geo.gml
1552262400,2019-03-11,3461,24264,2161,20190311_geo.gml
1552348800,2019-03-12,3441,24050,2150,20190312_geo.gml
1552435200,2019-03-13,3423,23651,2140,20190313_geo.gml
1552521600,2019-03-14,3416,23283,2141,20190314_geo.gml
1552780800,2019-03-17,3360,22177,2112,20190317_geo.gml
1552867200,2019-03-18,3344,21968,2109,20190318_geo.gml
1556409600,2019-04-28,4136,33168,2538,20190428_geo.gml
1556496000,2019-04-29,4137,33157,2538,20190429_geo.gml
1556668800,2019-05-01,4143,33195,2536,20190501_geo.gml
1557100800,2019-05-06,4095,32734,2503,20190506_geo.gml
1557187200,2019-05-07,4090,32604,2502,20190507_geo.gml
1557273600,2019-05-08,4082,32448,2500,20190508_geo.gml
1557360000,2019-05-09,4070,32231,2496,20190509_geo.gml
1560729600,2019-06-17,4305,30663,2557,20190617_geo.gml
1560816000,2019-06-18,4301,30650,2556,20190618_geo.gml
1560902400,2019-06-19,4302,30633,2556,20190619_geo.gml
1560988800,2019-06-20,4346,30990,2576,20190620_geo.gml
1561248000,2019-06-23,4333,30774,2570,20190623_geo.gml
1561334400,2019-06-24,4323,30695,2564,20190624_geo.gml
1561507200,2019-06-26,4290,30409,2554,20190626_geo.gml
1563148800,2019-07-15,4359,29087,2526,20190715_geo.gml
1563235200,2019-07-16,4380,29199,2537,20190716_geo.gml
1563321600,2019-07-17,4390,29421,2543,20190717_geo.gml
1563408000,2019-07-18,4405,29524,2549,20190718_geo.gml
1563667200,2019-07-21,4412,29974,2548,20190721_geo.gml
1563753600,2019-07-22,4421,30107,2550,20190722_geo.gml
1563926400,2019-07-24,4436,30290,2564,20190724_geo.gml
1564358400,2019-07-29,4475,30667,2570,20190729_geo.gml
1564444800,2019-07-30,4473,30367,2565,20190730_geo.gml
1564531200,2019-07-31,4469,30050,2559,20190731_geo.gml
1564617600,2019-08-01,4469,30157,2556,20190801_geo.gml
1564876800,2019-08-04,4610,30049,2561,20190804_geo.gml
1564963200,2019-08-05,4622,30034,2559,20190805_geo.gml
1565136000,2019-08-07,4637,29816,2537,20190807_geo.gml
1565568000,2019-08-12,4659,29680,2536,20190812_geo.gml
1565654400,2019-08-13,4676,29721,2542,20190813_geo.gml
1565740800,2019-08-14,4664,29577,2534,20190814_geo.gml
1565827200,2019-08-15,4652,28262,2523,20190815_geo.gml
1566086400,2019-08-18,4629,28318,2518,20190818_geo.gml
1566172800,2019-08-19,4626,28315,2518,20190819_geo.gml
1566345600,2019-08-21,4609,28080,2510,20190821_geo.gml
1566777600,2019-08-26,4640,28338,2506,20190826_geo.gml
1566864000,2019-08-27,4657,28561,2514,20190827_geo.gml
1566950400,2019-08-28,4666,28603,2517,20190828_geo.gml
1567036800,2019-08-29,4670,28612,2517,20190829_geo.gml
1567296000,2019-09-01,4655,28445,2507,20190901_geo.gml
1567382400,2019-09-02,4651,28378,2501,20190902_geo.gml
1567555200,2019-09-04,4720,29002,2542,20190904_geo.gml
1567987200,2019-09-09,4746,29387,2553,20190909_geo.gml
1568073600,2019-09-10,4748,29407,2556,20190910_geo.gml
1568160000,2019-09-11,4766,29477,2564,20190911_geo.gml
1568246400,2019-09-12,4736,29042,2548,20190912_geo.gml
1568505600,2019-09-15,4716,29040,2531,20190915_geo.gml
